Name	Series	Description	Ingredients	Instructions	Time	Level						
Steamed Buns	Studio Ghibli: Spirited Away	Sweet red bean steamed buns	"60*grams*Sugar, 250*mL*Warm Water, 7*gram*Yeast, 400*grams*All Purpose Flour, 1.5*teaspoon*Baking Powder, 1*gram*Salt, 250*grams*Red Bean Paste"	"1. Add the flour, sugar, yeast and salt into a bowl, ensuring that the salt and yeast aren't touching. Mix thoroughly to combine. Add the water and oil, then mix with a wooden spoon until it comes together as a rough dough.||2. Turn the dough out onto a lightly floured work surface and knead by hand (or in a stand mixer) for 10 minutes or until soft, smooth and elastic.||3. Lightly coat a bowl in oil and transfer in your dough. Toss the dough in the bowl to ensure it's fully coated in oil. Cover and allow to proof until doubled in size (about an hour).||4. Uncover the dough and knock out the air. Flatten the dough into a large disc and make a well in the centre. Add the baking powder into the well and gather the edges of the dough towards the centre to enclose the baking powder.||5. Knead the dough for a few minutes or until the baking powder is well distributed into the dough. Flatten the dough and then divide the dough into 6 to 12 even pieces, cover any dough that isn't being used to prevent it from drying out.||6. Pat out your portioned dough into a disc and spread over a layer of red bean paste. Cup the dough in both hands and gently rotate the dough until the edges are nearly touching. Gather the edges together and twist to seal. Invert the dough so that the seam is on your work surface. Gently roll it around to help tighten that seal. Cover and rest the buns for another 20 minutes. Line your steamers and bring water to a boil in a saucepan during that time.||7. Transfer the buns into a steamer lined with some baking paper, making sure to leave space between each bun as they will expand. Cover with a lid, place the steamer onto your saucepan, reduce heat to a simmer and allow to steam, undisturbed for 12 to 15 minutes (20 minutes if you want to make a massive one). Remove from heat and allow to rest for 5 minutes before opening the lid. Eat them while they're still warm! "	120	Medium						
Onigiri	Studio Ghibli: Spirited Away	Japanese rice balls 	"6*sheets*Roasted Seaweed (Nori), 0.75*cup*Shredded Cooked Salmon, 1*tablespoon*Mayonnaise, 6*cups*Cooked Sticky Rice, 1*null*Triangle-shaped Cookie Cutter"	"1. Start by slicing your nori sheets in half lengthwise. My sheets were 2.5 inches x 3.5 inches, so in the end I had 12 strips that were 1.25 inches wide. Mix the mayonnaise into your salmon until well coated. Set the salmon mix and nori aside.||2. Put the cookie cutter on a flat surface. Place an 8x8 inches sheet of plastic wrap over the cookie cutter and push some of it it down inside so that the inside of the cookie cutter is completely lined with plastic wrap. Scoop approximately 2 tbsp of rice into the bottom of the cutter and press it flat with a plastic spoon or small rubber spatula (the rice won't stick to the tools as much as it sticks to fingers!). When flattening the rice, push it around so that it reaches right up to the corners of the cutter (add more rice if needed to make sure the bottom is completely coated). Place 1 tsp salmon filling into the middle of the rice, spreading it around just a little, so there will be a little salmon in each bite of rice when you're finished.||3. Place a couple more tablespoons of rice on top and flatten out as before. Add a little extra rice if you need more to cover up the salmon. Wrap the plastic tightly over the exposed end of the onigiri and pop it out of the cookie cutter. Firmly wrap any loose ends around the outside of the onigiri. Set aside. ||4. Repeat with remaining rice and salmon until you run out of ingredients (for me, this made 12 rice balls).||5. Let the onigiri set for 5-10 minutes. If planning to eat them later, place them on a baking sheet and chill until ready to serve (you can reheat them in the microwave inside the plastic wrap for no more than 20-25 seconds - if they get too hot, they can fall apart). ||6. When ready to serve, remove the plastic wrap and press a nori strip around the bottom of each onigiri. The rice should still be sticky enough that the nori adheres with no problems."	15	Easy						
Vanilla Chiffon Cake	Studio Ghibli: Spirited Away	High tea cake with lemon swiss meringue butter cream	"53*grams*Vegetable Oil, 3*null*Eggs, 90*mL*Water, 1*tablespoon*Vanilla Extract, 140*grams*Cake Flour, 268*grams*Granulated White Sugar, 0.5*tablespoon*Baking Powder, 0.25*teaspoon*Salt, 0.5*teaspoon*Cream of Tartar, 90*grams*Egg Whites (Room temp), 225*grams*Unsalted Butter (Room temp & cubed), 0.5*teaspoon*lemon juice, 1*teaspoon*Lemon Zest, 0*null*Yellow Food Colouring "	"1. Preheat oven to 160C fan forced.||2. In the bowl of a stand mixer, add the oil, egg yolks, water and vanilla extract. Beat over medium-high speed for 30 seconds or until emulsified.||3. Sift in the flour, baking powder, salt and add 118 grams of white sugar. Beat over medium speed until just combined and no lumps remain, about 1-2 minutes.||4. In a separate bowl, whisk the egg whites (NOT the 90g Egg whites) until foamy. Add the cream of tartar and continue whisking until soft peaks are achieved.||5. Then slowly add in 50 grams of white sugar and continue to whisk until the meringue reaches stiff peaks.||6. Add a third of the meringue into the egg-yolk batter and whisk to combine. Add another third of the meringue and gently fold together until no white streaks remain. Repeat folding process with the final a third of the meringue.||7. Line the base of a loose bottomed 8-inch cake pan with oil and baking paper. Gently pour the mixture into the pan, smooth the surface with a spatula and tap against the counter a few times to level the cake.||8. Transfer into the oven and bake for 45-50 minutes, or until a skewer can be inserted into the centre of the cake and when removed, it comes out clean. Allow to cool completely in the pan.||9. Over a pot of simmering water, place over a stand mixer||heatproof bowl ensuring the water is not touching the bowl.||10. Add 100g sugar, egg whites, lemon juice and lemon zest into the bowl and whisk until sugar is completely dissolved.||11. Remove the bowl and attach to your stand mixer. Whisk meringue over high speed until the meringue and bowl are cool to the touch.||12. Reduce speed to medium-low and add in the softened butter 1tbsp at a time, ensuring each addition of butter is fully incorporated before adding more. Scrape down the bowl as necessary.||13. After adding all the butter, beat for an additional 2 minutes.||14. To ice the cake, apply a thin layer of buttercream all over the cake and refrigerate for 10-15 minutes or until the buttercream is firm to the touch. Once firm, remove from the fridge and apply a final layer of buttercream onto the cake. "	150	Medium						
Japanese Butter Cookies and Jam Cookies	Studio Ghibli:Spirited Away	High tea cookies	"240*grams*Cake Flour, 100*grams*Caster Sugar, 120*grams*Unsalted Butter (Room temp), 1*null*Egg (Well beaten), 1*teaspoon*Vanilla Extract, 1*tablespoon*Unsweetened Cocoa Powder, 0.5*teaspoon*Salt, 50*grams*Crushed Red Hard Candies"	"1. In a large bowl, beat the butter until light and creamy.||2. Add the sugar and beat together until well combined.||3. Add the vanilla and salt, continue to beat while adding the beaten egg in 3 to 4 additions.||4. Add the flour and knead together until a cohesive dough is formed.||5. Reserve half the dough to one side, adding the cocoa powder to the other half. Knead until well combined.||6. Place each dough onto a sheet of baking paper. Pat into a flat rectangle, top with another sheet of baking paper and roll until 5mm in thickness. Refrigerate for 1 hour or until firm.Preheat oven to 160C fan forced.||7. Cut the vanilla cookies into squares, then score horizontal and two vertical lines perpendicular to the edges of the cookies. Transfer to a lined baking tray.||8. Cut the chocolate cookies using a 48mm fluted cookie cutter. Transfer to a lined baking tray, then cut out the centre of each cookie with a small round cutter||piping tip.||9. Bake both sheets of cookies for 18-20 minutes. Remove chocolate cookies after 12 minutes, add in 0.5 tsp of crushed candy to each cookie centre, then continue to bake for remaining time.||10. Allow to cool on the tray for 10 minutes before transferring to a wire rack. "	150	Easy						
Aji Fry (Deep-fried Horse Mackerel)	Studio Ghibli: Up on Poppy Hill	Traditional Japanese deep fried fish	"4*null*Horse Mackerel Fish, 0.25*teaspoon*Salt, 0.25*teaspoon*Pepper, 1.5*tablespoon*Flour, 1*null*Egg (Beaten), 1.5*cups*Panko Breadcrumbs, 0*null*Oil for Frying, 0*null*Shredded Lettuce, 0*null*Tonkatsu Sauce"	"1. Remove the scales on both sides of the fish by sliding the tip of the knife from the tail end towards the head.||2. Place the knife where the tail begins, facing the blade to the head. Move the knife at a very low angle towards the head and trim the bony scales (scutes) along the lateral line, which ends close to half-way.||3. Remove the head by cutting at a slight angle behind the gill and the front fin.||4. Using a finger or a narrow knife, remove the guts from the opening, without breaking the thin flesh around the belly.||5. Rinse the fish and clean the cavity in the belly. Pat dry, including inside the cavity. ||6. Starting from the head of the fish, make a shallow incision on the dorsal side all the way to the tail. The incision needs to be on your side of the back bones.||7. Using the tip of the knife, extend the incision towards the belly along the backbones. It is easier if you lift the flesh that is already removed from the bones so that you can see where your knife is cutting.||8. Detach the rib cage by cutting the rib bones along the back bones.||9. Continue to remove the flesh along the back bones until you reach to the belly, but keep the belly skin intact. You now have a butterflied fish with the bone in.||10. Flip the butterflied fish over (skin side up) and make an incision on the other side of the dorsal in the same way.||11. Chop the backbone at the tail end, keeping the tail attached to the flesh.||12. Now you have a butterflied fish fillet. If small pieces of guts are left on the belly, wipe them off using kitchen paper.||13. Place the tip of the knife where the rib bones start and trim the flesh with the rib bones very thinly. Do the same on the other side of the rib bones.||14. There is a very sharp hard thorn in front of the anal fin. You need to remove it. I used kitchen scissors for this.||15. The last step is to remove the pin bones from the fillet. Run your finger along where the backbone was and feel the bones to locate them. Remove all of them using a pair of fish bone tweezers or pliers.||16. Sprinkle salt and pepper over both sides of butterflied fish fillets.||17. Working one fillet at a time, coat a fillet with flour, then pat to shake off excess flour. Place it in the egg and coat all over. Allow excess egg to drip, then transfer to the breadcrumbs.||18. Cover the entire fish with breadcrumbs, and gently press down so that a good layer of breadcrumbs is stuck on both sides. Repeat for the rest of the fillets.||19. Heat oil in a frying pan to 170 degrees C || 338 degrees F. The oil should be about 3cm || 1.25 inches deep.||20. Gently place the crumbed fish skin side up. Do not crowd the oil with too many fish pieces. Cook for about 1-1.5 minutes, then turn the fish over. Cook for further 1 minutes or so, until golden brown.||21. Transfer the fried fish to a tray lined with kitchen paper to drain excess oil.||22. Place two Aji Fry pieces with shredded lettuce on each serving plate. Serve immediately with the sauce of your choice. "	50	Hard						
Breakfast	Studio Ghibli: Up on Poppy Hill	Traditional Japanese breakfast	"0*null*Cooked Rice, 0*null*Miso Soup, 0*null*Ham, 0*null*Natto, 2*null*Eggs, 1.5*tablespoon*Soy Sauce, 3*teaspoons*Sugar, 1*head*Spinach, 1*pinch*Salt, 0*null*Sesame, 10*grams*Dried Bonito, 1*tablespoon*Sweet Sake (Mirin), 1*piece*Umeboshi, 0.5*piece*Mentaiko "	"1. Cut the spinach into 5 cm width.||2. Put oil in a frying pan and fry the spinach.||3. Season with salt, add sesame seeds and mix.||4. Crack 2 eggs, add soy sauce and sugar, and mix.||5. Spread oil on a frying pan and spread 1||3 of the egg mixture. Fold the egg several times.||6. Spread oil again, add half of the remaining egg mixture and spread. Fold the eggs together with (5).||7. Spread the oil again, add the rest of the egg mixture, spread it out, and fold the egg of (6).||8. Add the seasoning for the bonito flakes to the frying pan, mix, and bring to a boil.||9. Add katsuobushi and mix.||10. Lightly heat the mentaiko.||11. Cut the mentaiko in half and the egg into bite-sized pieces.||12. Arrange in a bento box with rice, ham, and natto.||13. Serve with miso soup on the side"	15	Easy						
Nimono Stew	Castle in the Sky	Traditional Japanese vegetable stew	"400*mL*Dashi Stock, 2*null*Carrots (Peeled), 2*null*Boiling type Potatoes (Peeled), 1*null*Medium Onion (Peeled), 4*null*Rehydrated Dried Shiitake Mushrooms, 4*null*Snow Peas, 1*teaspoon*Sesame Oil, 0.5*tablespoon*Sugar, 1*tablespoon*Sake, 1*tablespoon*Mirin, 2*tablespoons*Soy Sauce, 0*null*Salt to taste"	"1. Cut the carrots evenly: put your peeled carrot on the board, and cut at even intervals while giving a quarter-turn to the carrot each time. Or alternatively, slice carrots regularly and use a cookie cutter to create flower shaped carrots.||2. Cut and prep the potatoes into fairly even pieces. Optionally, you can shave the edges of each piece to round them off. This cutting method is called mentori. Put the cut up potato in a bowl of water, and then drain to rinse off the surface starch||3. Cut the shiitake mushtooms: tightly squeeze out the rehydrated dried shiitake mushrooms, saving the soaking liquid. Cut off the stem, which is usually too chewy even after rehydrating. Cut each cap in half - but instead of just going straight up and down, make a slanted 45 degree cut.||4. Cut the onion into one 8th wedges.||5. Heat up your pan with the teaspoon of oil.  Put the onions in first and stir around for 2-3 minutes until the edges start turning a bit translucent.||5. Add the potatoes and carrots and continue stirring for a minute. This short sauteing step helps to bring out the sweetness of the vegetables. Add the mushrooms and stir a bit more.||6. Add the dashi stock (or combined dashi + mushroom soaking liquid). There should be enough to just about come to the top level of all the vegetables in the pot.||7. Bring it up to a boil and lower the heat to a simmer. Some scum will rise to the top, which should be removed so that the final dish will have a clean taste and appearance. Try to take off just the scum and leave the liquid. ||8. Add the flavoring ingredients in this order: sugar, mirin, sake, and then finally the soy sauce.||9. Let simmer on its own. In the meantime, blanch the peas in boiling water for a minute or two.||10. Arrange the vegetables attractively in a bowl, pouring a little of the cooking liquid over it to add shine and flavor. Garnish with the snow peas or other green garnish of your choice to make it pop. "	40	Easy						
Nabeyaki Udon	Studio Ghibli:Whisper of the Heart	Flavourful udon noodle soup perfect for winter	"3.5*cups*Dashi Broth, 2*tablespoons*Mirin, 2*tablespoons*Soy Sauce, 1*teaspoon*Kosher Salt, 1*inch*Kamaboko (Fish Cake), 1*piece*Aburaage (Deep-fried Tofu Pouch), 2*null*Shiitake Mushrooms, 1*null*Tokyo Negi (Green onion), 2*stalks*Komatsuna, 2*servings*Udon Noodles, 2*null*Large Eggs, 4*null*Shrimp Tempura, 0*null*Shichimi Togarashi (Japanese seven spice), 0*null*Yuzu Zest (Optional)"	"1. In a large measuring cup or bowl, combine 3.3 cups dashi (Japanese soup stock), 2 Tbsp mirin, 2 Tbsp soy sauce, and 1 tsp Diamond Crystal kosher salt.||2. Mix it all together until the salt is completely dissolved. Then, divide the soup broth into the individual donabe clay pots. Set aside.||3. Cut 1 inch kamaboko (fish cake) into 4 thin slices about 0.25 inch thick. Cut 1 piece aburaage (deep-fried tofu pouch) into 4 rectangular pieces.||4. Cut off and discard the stems of 2 shiitake mushrooms.||5. Slice 1 Tokyo negi (naga negi; long green onion) diagonally into 0.5-inch (1.3-cm) pieces.||6. Cut 2 stalks komatsuna or other green vegetable into 2-inch (5-cm) pieces. Keep the stem and leafy parts separate because we will add them to the broth at different times.||7. To cook 2 servings udon noodles, bring a large pot of water to a boil. Once boiling, cook the frozen udon for 1 minute until heated through and drain well. If you use dried noodles, cook them according to the package instructions.||8. Divide and add the udon noodles into the individual pots. Then, top the noodles with equal portions of the kamaboko fish cake, aburaage, shiitake mushroom, Tokyo negi, and green vegetable stems. (Set aside the eggs, leafy greens, and shrimp tempura for later.)||9. Transfer the pots to individual burners on the stovetop. Cover with the lids and bring the soup to a boil over medium heat. Once boiling, reduce the heat to a simmer and cook for 2-3 minutes.||10. Uncover the pot. With 2 large eggs (50 g each w||o shell), crack one egg in the center of each pot on top of the ingredients. Cover to cook until the egg is done to your liking.||11. Once the egg is done, add both the leafy greens and the cooked 4 shrimp tempura on top.||12. Bring the donabe to the table. Sprinkle with shichimi togarashi (Japanese seven spice) and top with yuzu zest, if you'd like. "	30	Easy						
Tamago Kake Gohan	Studio Ghibli: Silver Spoon	Simple raw egg on rice	"1*null*Pasteurised Egg, 1*bowl*Rice, 0*null*Soy Sauce"	1. Prepare a bowl of rice.||2. Crack the egg on top of the rice.||3. Drizzle with soy sauce to taste.||4. Mix well.	2	Easy						
Salmon with Cream Sauce	Studio Ghibli: Porco Rosso	Western salmon dish	"3*fillets*Salmon, 1*packet*Baby Carrots, 1*cup*Water, 6*tablespoons*Butter, 2*tablespoons*Brown Sugar, 2*tablespoons*Lemon Juice, 0*null*Salt, 0*null*Black Pepper, 2*tablespoons*All Purpose Flour, 1*cup*Milk"	1. Remove salmon skin and season the salmon with salt and pepper.||2. Add 2 tbsp of butter into a saucepan and heat on medium-low. Fry the salmon until both sides turn golden brown.||3. Melt 2 tbsp of butter in a saucepan over medium heat. Add chopped garlic and shallots. Stir well until the garlic turns light brown.||4. Lower the heat to medium-low and add flour. Mix well until the mixture thickens.||5. Add milk while stirring. Mix until the mixture thickens again.||6. Add baby carrots and 1 cup of water until it boils. Poke the carrots with a fork to check if it is soft enough.||7. Drain the baby carrots and add 2 tbsp of butter. Add salt and pepper as seasoning.||8. Add 2 tbsp of brown sugar. Mix well until the mixture thickens.||9. Transfer the salmon onto a plate and pour the cream sauce over it. Place the glazed carrots on the side of the plate. 	20	Easy						
Cream Stew	Studio Ghibli: Secret World of the Arrietty	Creamy vegetable stew	"0.5*head*Cauliflower, 1*null*Broccoli, 1*null*Large Carrot, 3*null*Small Potatoes, 1*null*Small Leek, 0.25*cup*Flour, 0.5*cup*Milk, 1*clove*Garlic, 5*cups*Water, 0*null*Salt, 0*null*Pepper, 0*null*Parsley (Finely chopped)"	"1. Chop the carrots, broccoli, cauliflower, and potatoes into small pieces.||2. Slice the leek into thin slices.||3. Mince the garlic.||4. Heat olive oil on medium heat and cook the sliced leeks till it has softened.||5. Add about 5 cups of water and 1 tsp of salt.||6. When the water has reached a boil, add all of the chopped vegetables. Make sure that the vegetables are fully submerged in water.||7. Boil for less than 5 minutes. Pierce with a fork to see if the vegetables are soft enough.||8. Remove the vegetables from the pot and set it aside. ||9. With the remaining water left in the pot, add flour and milk. Whisk until it reaches a thick consistency.||10. Boil the mixture while whisking. Add the boiled vegetables and season it with salt and pepper.||11. Transfer it to a bowl and garnish with parsley. "	30	Easy						
Churros	Disney	Fried Mexican dessert 	"1*cup*room temperature Water,3*tablespoons*Granulated Sugar,0.5* cups* Granulated Sugar,0.5*teaspoon*Salt,3*tablespoons* Vegetable Oil,4*cups*Vegetable Oil,1*cup*Flour,1*teaspoon*Ground Cinnamon"	"1. Line an ungreased baking sheet with parchment paper and set aside.||2. In a large saucepan over medium-high heat, add water, 3 tablespoons sugar, salt, and 3 tablespoons oil. Stir until mixture reaches a boil, about 4 minutes, then remove from heat.||3. Add flour and stir until combined.||4. Scoop dough into a large piping bag fitted with a large star tip. Let the dough cool until you can hold the bag comfortably, about 10 minutes.||5. Pipe dough into 6 inches lines onto a prepared baking sheet. Place sheet into the freezer to set for 1 hour.||6. In a large, heavy-bottomed pot over medium-high heat, add the remaining 4 cups oil. It should measure to a depth of about 3 inches. Heat until oil reaches 375 degrees Fahrenheit  Line a large plate with paper towels and set aside.||7. In a medium shallow bowl, combine the remaining sugar and cinnamon. Set aside.||8. Carefully slide one Churro into the hot oil. Flip while frying until golden brown, about 2 minutes total.||9. Remove from oil with tongs and place in a bowl with sugar-cinnamon mixture. Turn to coat Churro thoroughly, and transfer to a lined plate to cool. Repeat with remaining Churros."	80	Easy						
Beignets	Disney: The Princess and the Frog	New Orleans Fried Dough	"1.5*cups*Warm Water (110 degrees Fahrenheit),0.5*cup*Granulated Sugar,1*packet*Active Dry Yeast,2*large*Eggs,1.25*teaspoons*Salt,1*cup*Evaporated Milk,7*cups*Bread Flour,0.25*cup*Shortening,4*cups*Vegetable Oil,3*cups*Confectioners Sugar"	"1. In a small bowl, stir water with sugar and yeast. Let it sit for 10 minutes.||2. In the bowl of a stand mixer, add eggs. Using the whisk attachment, beat eggs for 1 minute. Add salt and evaporated milk. Add yeast mixture and combine.||3. Add 3 cups flour while continuing to mix. Add shortening until combined. Add remaining flour until thoroughly combined.||4. Switch to dough hook attachment and knead until dough comes together, about 5 minutes.||5. Grease a separate large bowl with nonstick cooking spray. Transfer the dough to a greased bowl. Place plastic wrap greased with cooking spray over the top of the bowl and let rise for 3 hours at room temperature.||6. In a large, heavy-bottomed pot over medium heat, add vegetable oil. It should measure to a depth of about 2 inches. Heat until the oil reaches 350 degrees Fahrenheit. Line a large plate with paper towels and set aside.||7. Flour a flat surface and roll the dough out to 1/4 inches thickness. Cut into Mickey shapes (or shape into Mickeys face by hand).||8. Carefully slide two or three dough Mickeys into the hot oil and fry for about 1 minute on each side, until golden brown. Transfer to a lined plate. Repeat with remaining dough.||9. Allow fried Beignets to drain for 30 seconds, then pile high with confectioners' sugar."	206	Easy						
Bengal Beef Skewers 	Disney: Indiana Jones	Teriyaki marinated Beef Skewers	"0.5*cup*Teriyaki Sauce,0.5*cup*Soy Sauce,0.5*cup*Rice Vinegar,1*tablespoon*Red Wine Vinegar,0.5*teaspoon*Garlic Powder,1*tablespoon*Minced Fresh Ginger,0.75*cup*Light Brown Sugar,3*tablespoons*Cold Water,3*tablespoons*Cornstarch,1*pound*Kebab Beef,6*8inches*Wooden Skewers"	"1. In a medium saucepan over medium heat, add teriyaki sauce, soy sauce, rice vinegar, red wine vinegar, garlic powder, ginger, and brown sugar. Bring to a boil, stirring often.||2. In a small bowl, mix water and cornstarch together.||3. Once the sauce comes to a boil, remove it from the heat and gradually stir in the cornstarch mixture. Allow sauce to cool, for about 20 minutes. Pour half the sauce into a shallow dish.||4. Add meat chunks to a shallow dish and stir to coat. Refrigerate covered overnight to marinate. Refrigerate the remaining sauce in a separate covered container.||5. When ready to assemble skewers, soak wooden skewers in water for 30 minutes. Thread saucy meat chunks onto skewers.||6. Preheat grill or grill pan for 10 minutes to medium heat.||7. Dip a folded paper towel in olive oil and hold it with tongs to grease the grill. Lay skewers on the grill and spread reserved sauce generously over meat while it cooks.||Grill 8 minutes or until preferred doneness, flipping meat skewers a few times during cooking."	70	Medium						
Clam Chowder	Disney:Pirates of the Caribbean	Clam vegetable stew	"0.33*cup*Cold Salted Butter,0.33*cup*Flour,2*tablespoons*Vegetable Oil,2*large*Yellow Potatoes (Peeled and Diced),1*medium*White Onion (Peeled and Diced),2*medium*Stalks Celery ( trimmed and diced),1*cup*Clam Juice,1.5*cup*Heavy Cream,2*8ounce*Canned Chopped Clams in Juice,1*teaspoon*Ground Thyme,0.5*teaspoon*Salt,0.125*teaspoon*Ground White Pepper"	"1. In a small saucepan over medium heat, melt butter, then mix in flour. Continue to cook, stirring frequently, 5 minutes. Remove from heat and set aside.||2. In a large pot over medium heat, add oil and heat for 30 seconds. Then add potatoes, onion, and celery. Cook for about 10 minutes, until onion is translucent.||3. Add clam juice, cream, and canned clams including juice, thyme, salt, white pepper, and butter mixture. Stir to combine and bring to a boil. Reduce heat to a simmer and cook for 5 minutes, until potatoes are soft.||4. Store leftovers in an airtight container in the refrigerator for up to 3 days."	30	Easy						
The Grey Stuff	Disney:Beauty and the Beast	Chocolate mousse like dessert 	"12*null*Chocolate Sandwich Cookies,1*3.4ounce*Instant Box Vanilla Pudding,1.5*cups*Whole Milk,1*8ounce*Frozen Tub of Whipped Topping (Thawed)"	"1. In a blender or food processor, crush chocolate sandwich cookies into a fine crumble. Set aside.||2. In a large bowl, add instant pudding powder and milk. Whisk together and let chill in the refrigerator for 10 minutes.||3. Stir in cookie crumbs and whipped topping with a spoon, being careful not to overmix."	15	Easy						
Cheshire Cat Tails	Disney: Alice's Adventures in Wonderland	Vanilla pastry dessert 	"1*17.3ounce*Box of Frozen Puff Pastry Sheets,1*3.4ounces*Instant Vanilla Pudding Package,1.75*cups*Whole Milk,1*cup*Mini Semisweet Chocolate Chips,1*large*Egg,1*tablespoon*Room Temperature Water,1*cup*Confectioners Sugar,0.25*cup*Heavy Cream,1*teaspoon*Vanilla Extract,2*drops*Purple Gel Food Coloring,2*drops*Pink Gel Food Coloring"	"1. Remove puff pastry from the freezer and allow to thaw at room temperature for 45 minutes. Preheat oven to 400 degrees Fahrenheit. Line an ungreased baking sheet with parchment paper and set aside.||2. In a medium bowl, whisk together instant vanilla pudding and milk. Cover and chill in the refrigerator until ready to use, at least 10 minutes.||3. Unfold both sheets of puff pastry and use a rolling pin to just barely soften each surface. (Don't work the dough too much or it won't puff up in the oven.)||4. Spread a very thin layer of vanilla pudding onto each sheet of pastry and sprinkle one sheet with mini chocolate chips. Carefully lay the other sheet pudding-side down onto the mini chocolate chips.||5. Carefully cut the stacked pastry into six long strips. Holding a strip in your hand, twist one end. Lay on the prepared baking sheet. Repeat with the remaining strips.||6. In a small bowl, beat egg and water together. Brush the mixture over the tops of the pastry.||7. Bake until golden brown and puffing up about 20 minutes. Remove from oven and allow to cool completely, about 30 minutes, on a baking sheet.||8. In a medium bowl or stand mixer, mix the confectioners' sugar, cream, and vanilla. Divide evenly between two small bowls, and add one shade of food colouring to each bowl, stirring to combine well. Using a spoon or piping bag, drizzle both colours of icing over each twist."	120	Medium						
